DataSet,ed,msm,TSFresh,Summary,Catch22,QUANT,UFS-IE
RefrigerationD,0.352,0.3813,0.344,0.4987,0.3947,0.3904,0.5243
Rock,0.54,0.42,0.34,0.552,0.526,0.44,0.458
ScreenType,0.4133,0.392,0.36,0.4187,0.4243,0.3789,0.3845
SemgHGCh2,0.66,0.6317,0.6043,0.6783,0.565,0.595,0.6763
SemgHMCh2,0.3444,0.3578,0.2109,0.2867,0.2493,0.2907,0.3393
SemgHSCh2,0.4578,0.54,0.2678,0.4067,0.3707,0.4356,0.4644
ShapeletSim,0.5278,0.5667,0.5,0.5333,1,0.5122,0.5306
ShapesAll,0.405,0.3583,0.1593,0.4253,0.352,0.3882,0.536
SmallKA,0.36,0.3413,0.388,0.5733,0.4693,0.648,0.5824
SmoothS,0.64,0.5933,0.3867,0.7287,0.414,0.446,0.542
SonyAIBORS1,0.5191,0.5092,0.5574,0.7654,0.5824,0.8369,0.5093
SonyAIBORS2,0.7576,0.7692,0.5824,0.6955,0.5764,0.8583,0.7807
StarLightC,0.7589,0.7661,0.4762,0.6547,0.6469,0.6264,0.7444
Strawberry,0.5108,0.5081,0.5757,0.5081,0.527,0.5189,0.5378
SwedishLeaf,0.4272,0.5072,0.139,0.5206,0.4342,0.5122,0.5723
Symbols,0.7387,0.7879,0.3211,0.4865,0.7461,0.6893,0.7527
SyntheticC,0.56,0.6067,0.2033,0.4287,0.553,0.7133,0.6547
ToeS1,0.5132,0.5219,0.5272,0.7588,0.6009,0.5518,0.5057
ToeS2,0.5231,0.5077,0.6308,0.8077,0.6923,0.7538,0.5638
Trace,0.56,0.55,0.355,0.724,0.57,0.813,0.56
TwoLeadECG,0.5338,0.5812,0.5004,0.7355,0.5461,0.676,0.5391
TwoPatterns,0.3158,0.3593,0.26,0.2613,0.278,0.3029,0.3423
UMD,0.4583,0.4792,0.3528,0.6667,0.4708,0.5903,0.4514
UWaveGLAll,0.691,0.6678,0.1707,0.2271,0.3872,0.2802,0.7315
UWaveGLX,0.5539,0.5572,0.1987,0.2732,0.3463,0.3832,0.5782
UWaveGLY,0.4953,0.4777,0.1782,0.238,0.2864,0.3246,0.4858
UWaveGLZ,0.4623,0.5173,0.2027,0.2853,0.3905,0.3397,0.5024
Wafer,0.6299,0.6282,0.5839,0.7949,0.6079,0.6189,0.628
Wine,0.537,0.5185,0.5,0.5556,0.6111,0.5185,0.587
WordS,0.279,0.337,0.1837,0.2061,0.1834,0.213,0.321
Worms,0.4026,0.3896,0.3883,0.3818,0.4416,0.5844,0.3727
WormsTC,0.5325,0.5325,0.6169,0.5857,0.5584,0.6104,0.5442
Yoga,0.5083,0.5023,0.5013,0.5763,0.5151,0.527,0.5067
AVERAGE,0.5178,0.5416,0.3716,0.5121,0.4884,0.5277,0.5478
RANK,3.8304,3.2098,6.3348,3.8884,4.25,3.442,3.0446
WIN,37,55,12,35,36,49,-
DRAW,2,1,1,3,1,2,-
LOSE,73,56,99,74,75,61,-
